날짜,종가,시가,고가,저가,거래량,변동 %
1986-01-02,25.56,60.76,61.5,59.03,123.43K,-2.09%
1986-01-03,25.97,59.35,60.7,59.05,104.85K,2.45%
1986-01-06,26.57,60.01,60.68,59.11,129.03K,-1.22%
1986-01-07,26.2,59.77,60.45,59.55,80.40K,0.05%
1986-01-08,25.93,59.41,60.8,59.41,106.59K,0.99%
1986-01-09,25.9,58.47,59.55,58.15,114.72K,1.45%
1986-01-10,25.79,57.4,58.8,57.02,112.88K,2.01%
1986-01-13,25.08,56.35,57.4,55.72,131.18K,1.45%
1986-01-14,24.96,57.31,57.75,56.45,98.13K,-1.50%
1986-01-15,25.15,58.11,58.3,56.7,98.71K,-2.30%
1986-01-16,24.11,58.75,59.15,57.95,87.14K,-0.22%
1986-01-17,23.53,57.8,59,57.55,81.62K,1.98%
1986-01-20,21.27,57.42,58.18,57.1,68.60K,2.78%
1986-01-21,20.59,56.54,56.8,55.4,38.31K,-0.35%
1986-01-22,20.59,57.82,58.52,56.2,90.17K,-2.66%
1986-01-23,19.82,56.98,58.25,56.7,81.91K,1.58%
1986-01-24,19.5,57.72,58.4,56.9,102.69K,-1.23%
1986-01-27,20.83,57.8,58.2,57.35,68.82K,0.28%
1986-01-28,20.17,57.77,58.2,56.93,100.71K,-0.47%
1986-01-29,19.66,58.8,58.96,57.4,104.74K,-1.92%
1986-01-30,19.66,59.7,60.4,58.6,133.27K,-1.31%
1986-01-31,18.83,59.47,59.85,58.9,99.62K,0.40%
1986-02-03,17.36,60.11,60.44,58.6,126.39K,-1.83%
1986-02-04,15.44,61.75,62.15,60.5,92.74K,-1.94%
1986-02-05,16.16,59.7,61.85,59.56,100.01K,3.40%
1986-02-06,16.45,59.9,60.4,58.75,97.86K,-0.17%
1986-02-07,17.68,59.76,60.3,59.05,95.97K,0.15%
1986-02-10,16.78,61.2,61.39,59.27,103.82K,-2.38%
1986-02-11,16.55,61.1,61.48,60.55,89.73K,0.21%
1986-02-12,15.73,60.88,61.5,60.25,99.58K,0.71%
1986-02-13,16.47,62.3,62.95,60.6,109.99K,-2.85%
1986-02-14,16.01,60.23,62.55,59.98,101.67K,3.51%
1986-02-18,14.77,60.06,60.5,59.3,78.77K,-0.51%
1986-02-19,15.12,59.85,60.7,59.15,103.72K,-0.66%
1986-02-20,14.17,62.3,62.44,59.85,33.83K,-2.21%
1986-02-21,13.53,63,63.59,61.31,74.30K,-1.25%
1986-02-24,15.11,64.1,64.28,62.7,65.96K,-1.80%
1986-02-25,14.55,62.95,64.4,62.72,73.28K,2.76%
1986-02-26,14.6,63.05,63.1,61.2,79.49K,-0.71%
1986-02-27,13.95,64.15,64.39,62.45,110.80K,-1.62%
1986-02-28,13.26,63.59,64.7,63.4,128.61K,0.93%
1986-03-03,12.27,62.02,63.6,61.88,121.48K,2.80%
1986-03-04,11.98,61.79,62.44,60.35,100.05K,-0.06%
1986-03-05,12.09,61.6,62.23,61.1,90.34K,0.78%
1986-03-06,13.16,62.72,62.83,60.7,116.50K,-2.28%
1986-03-07,12.28,63.81,64.8,62.6,87.28K,-1.74%
1986-03-10,12.85,65.4,65.49,63,94.28K,-2.40%
1986-03-11,13.1,66.2,66.62,64.99,69.18K,-1.16%
1986-03-12,14.01,66.79,67.03,65.3,114.73K,-0.82%
1986-03-13,12.65,66.34,67.2,65.52,121.35K,0.66%
1986-03-14,12.72,64.94,67.4,64.6,125.18K,1.97%
1986-03-17,13.2,65.7,66.17,64.6,82.21K,-1.14%
1986-03-18,13.73,63.44,65.9,62.65,108.14K,2.54%
1986-03-19,13.28,66.58,66.8,63.85,96.32K,-3.47%
1986-03-20,12.78,66.85,68.14,66.05,93.00K,-0.45%
1986-03-21,13.94,66.22,68.27,66.15,108.75K,0.86%
1986-03-24,12.13,67.24,67.38,64.8,44.50K,-1.72%
1986-03-25,12.25,63.39,67.5,63.2,85.07K,6.97%
1986-03-26,12.02,64.7,64.7,62.85,89.33K,-2.70%
1986-03-27,11.44,65.05,65.66,63.9,111.66K,-0.52%
1986-03-31,10.42,63.09,65.2,63.05,116.78K,3.14%
1986-04-01,11.27,63.31,63.85,62.65,110.40K,-0.36%
1986-04-02,11.52,64.15,64.41,62.55,109.14K,-1.15%
1986-04-03,11.75,64.67,65.35,63.55,104.98K,-0.64%
1986-04-04,12.74,64.44,65.15,63.1,123.33K,0.19%
1986-04-07,14.33,65.83,66.5,63.9,116.13K,-2.41%
1986-04-08,12.47,66.6,67.56,65.65,112.85K,-2.38%
1986-04-09,13,69.4,69.66,67.35,97.74K,-2.73%
1986-04-10,13.48,68.75,69.6,68.25,102.65K,0.77%
1986-04-11,13.61,69.95,70.65,67.8,143.72K,-1.25%
1986-04-14,12.97,67.4,70.85,67.26,178.30K,3.88%
1986-04-15,12.7,68.6,70.8,66.3,151.04K,1.62%
1986-04-16,11.43,67.5,67.95,65.9,92.78K,-2.02%
1986-04-17,11.83,67.41,68,66.4,78.80K,0.25%
1986-04-18,11.92,65.79,67.4,65.3,98.72K,2.45%
1986-04-21,12.57,65.56,66.2,64.65,83.18K,0.40%
1986-04-22,13.2,65.4,66.25,65,38.94K,0.15%
1986-04-23,13.21,63.3,65.5,63.3,81.60K,3.29%
1986-04-24,12.98,63.33,63.77,62.25,66.19K,0.03%
1986-04-25,13.39,66.14,66.6,63.15,121.22K,-4.28%
1986-04-28,13.36,66.26,66.85,65.5,108.87K,-0.29%
1986-04-29,13.51,66.85,67,65.35,84.42K,-0.88%
1986-04-30,13.34,65.82,67.1,65.6,121.67K,1.61%
1986-05-01,13.81,64.95,66,64.42,124.63K,1.39%
1986-05-02,14.73,63.12,65,62.91,138.32K,2.90%
1986-05-05,14.33,63.91,64.27,63,113.87K,-1.36%
1986-05-06,14.32,62.31,64,62.21,117.47K,2.62%
1986-05-07,15.21,61.42,62.45,61.42,103.86K,1.52%
1986-05-08,15.74,60.78,62.1,60.6,83.42K,0.85%
1986-05-09,15.86,61.94,62.5,60.8,107.88K,-1.66%
1986-05-12,15.77,61.59,61.95,60.87,84.88K,0.52%
1986-05-13,15.89,60.51,62.3,60.51,104.28K,1.65%
1986-05-14,15.51,59.93,61.05,59.81,100.66K,1.05%
