"Date","Price","Open","High","Low","Vol.","Change %"
"10/31/2023","307.10","311.65","312.80","306.25","339.72K","-1.00%"
"10/30/2023","310.20","307.25","311.25","306.75","271.38K","0.32%"
"10/27/2023","309.20","309.95","311.50","308.50","300.85K","0.02%"
"10/26/2023","309.15","312.95","313.50","309.15","338.12K","-2.74%"
"10/25/2023","317.85","320.30","320.75","317.55","240.64K","-0.53%"
"10/24/2023","319.55","318.55","319.65","312.90","376.13K","0.80%"
"10/23/2023","317.00","317.15","319.25","316.45","247.16K","-0.58%"
"10/20/2023","318.85","321.00","321.60","317.55","299.69K","-1.50%"
"10/19/2023","323.70","326.50","326.70","323.70","263.09K","-1.97%"
"10/18/2023","330.20","327.95","330.60","327.65","221.55K","0.43%"
"10/17/2023","328.80","327.15","329.65","326.45","242.04K","1.22%"
"10/16/2023","324.85","326.20","327.30","322.85","248.38K","-0.92%"
"10/13/2023","327.85","327.45","328.60","326.60","195.53K","-0.79%"
"10/12/2023","330.45","328.70","330.60","328.10","274.12K","1.06%"
"10/11/2023","327.00","324.20","329.05","324.15","287.21K","1.73%"
"10/10/2023","321.45","323.95","326.55","321.05","296.61K","0.30%"
"10/06/2023","320.50","319.90","322.10","319.75","203.26K","0.23%"
"10/05/2023","319.75","322.00","323.15","319.70","258.98K","-0.11%"
"10/04/2023","320.10","324.80","325.05","319.75","305.91K","-2.71%"
"09/27/2023","329.00","326.10","329.15","325.90","245.59K","0.20%"
"09/26/2023","328.35","333.00","333.20","328.25","221.53K","-1.43%"
"09/25/2023","333.10","332.20","333.65","331.25","185.45K","0.08%"
"09/22/2023","332.85","331.45","333.75","330.10","229.05K","-0.40%"
"09/21/2023","334.20","338.00","338.75","334.00","245.74K","-1.88%"
"09/20/2023","340.60","340.70","341.35","339.25","172.90K","-0.04%"
"09/19/2023","340.75","342.70","343.65","339.75","195.78K","-0.64%"
"09/18/2023","342.95","345.00","345.95","342.75","199.10K","-1.14%"
"09/15/2023","346.90","343.10","348.35","342.65","264.92K","1.67%"
"09/14/2023","341.19","336.70","340.35","336.65","129.51K","1.51%"
"09/13/2023","336.10","335.00","337.55","334.85","188.61K","0.10%"
"09/12/2023","335.75","339.00","339.20","335.50","200.25K","-0.68%"
"09/11/2023","338.05","336.55","338.05","335.35","222.07K","0.39%"
"09/08/2023","336.75","336.10","336.75","334.05","190.07K","0.13%"
"09/07/2023","336.30","336.20","337.80","335.20","213.55K","-0.44%"
"09/06/2023","337.80","339.45","340.50","337.40","181.95K","-0.79%"
"09/05/2023","340.50","341.15","341.25","339.40","169.81K","-0.07%"
"09/04/2023","340.75","338.85","340.80","337.75","192.01K","0.86%"
"09/01/2023","337.85","334.00","339.05","333.85","217.83K","0.87%"
"08/31/2023","334.95","335.35","336.10","333.55","199.88K","0.06%"
"08/30/2023","334.75","336.55","337.70","334.75","171.00K","0.39%"
"08/29/2023","333.45","333.90","334.50","332.75","170.58K","0.24%"
"08/28/2023","332.65","332.05","332.75","330.90","165.36K","0.74%"
"08/25/2023","330.20","329.40","331.55","328.65","207.43K","-1.11%"
"08/24/2023","333.90","333.00","334.15","332.40","201.06K","1.29%"
"08/23/2023","329.65","328.65","330.35","328.00","181.15K","-0.11%"
"08/22/2023","330.00","331.00","332.55","328.85","214.85K","0.32%"
"08/21/2023","328.95","328.95","331.45","328.55","192.32K","0.14%"
"08/18/2023","328.50","327.95","330.65","326.30","223.76K","-0.76%"
"08/17/2023","331.00","329.95","331.00","326.25","266.28K","-0.41%"
"08/16/2023","332.35","335.05","335.50","331.30","212.02K","-1.45%"
"08/14/2023","337.25","339.30","340.05","335.80","213.99K","-0.94%"
"08/11/2023","340.45","340.60","343.85","339.85","204.46K","0.00%"
"08/10/2023","340.45","341.50","341.65","339.85","183.31K","-0.60%"
"08/09/2023","342.50","338.65","343.20","338.55","219.55K","0.99%"
"08/08/2023","339.15","342.30","343.40","337.95","262.07K","-0.53%"
"08/07/2023","340.95","341.30","344.20","340.20","222.87K","-0.39%"
"08/04/2023","342.30","343.45","343.85","341.40","211.66K","-0.12%"
"08/03/2023","342.70","344.60","345.85","341.15","297.35K","-0.61%"
"08/02/2023","344.80","350.60","351.05","344.45","267.43K","-2.14%"
"08/01/2023","352.35","347.20","352.90","346.75","244.03K","1.47%"
"07/31/2023","347.25","347.05","348.50","346.15","218.33K","0.58%"
"07/28/2023","345.25","344.65","345.90","342.75","253.70K","-0.32%"
"07/27/2023","346.35","342.95","346.80","342.40","256.65K","1.14%"
"07/26/2023","342.45","346.40","347.20","341.60","317.78K","-1.14%"
"07/25/2023","346.40","347.00","347.70","344.30","174.22K","0.12%"
"07/24/2023","346.00","344.00","347.25","342.05","256.15K","0.54%"
"07/21/2023","344.15","341.30","344.15","338.90","217.33K","0.25%"
"07/20/2023","343.30","342.35","344.95","342.10","185.94K","-0.32%"
"07/19/2023","344.40","347.05","347.45","343.65","196.72K","-0.35%"
"07/18/2023","345.60","348.55","348.85","344.80","193.82K","-0.66%"
"07/17/2023","347.90","347.00","349.00","346.70","171.69K","-0.09%"
"07/14/2023","348.20","345.40","349.25","344.80","235.36K","1.32%"
"07/13/2023","343.65","343.80","344.90","343.25","224.17K","0.84%"
"07/12/2023","340.80","339.00","341.10","337.80","223.00K","0.58%"
"07/11/2023","338.85","335.20","339.00","334.70","238.31K","1.80%"
"07/10/2023","332.85","334.00","335.30","332.00","280.15K","0.00%"
"07/07/2023","332.85","336.20","336.40","332.20","288.44K","-1.55%"
"07/06/2023","338.10","340.75","340.80","337.70","285.65K","-0.73%"
"07/05/2023","340.60","343.55","344.95","340.60","204.66K","-0.95%"
"07/04/2023","343.85","345.50","345.95","343.85","159.28K","-0.55%"
"07/03/2023","345.75","341.65","345.80","341.65","198.96K","1.54%"
"06/30/2023","340.50","339.35","341.25","336.95","229.86K","0.38%"
"06/29/2023","339.20","340.40","342.60","339.20","220.66K","-0.10%"
"06/28/2023","339.55","342.70","342.80","338.95","187.38K","-0.59%"
"06/27/2023","341.55","341.15","341.75","339.85","194.00K","0.04%"
"06/26/2023","341.40","339.50","342.10","339.05","166.83K","0.34%"
"06/23/2023","340.25","343.05","343.45","339.65","179.15K","-0.58%"
"06/22/2023","342.25","340.35","343.10","340.20","181.28K","0.32%"
"06/21/2023","341.15","343.50","343.80","340.90","189.45K","-0.87%"
"06/20/2023","344.15","343.85","344.75","342.85","173.85K","-0.28%"
"06/19/2023","345.10","346.20","346.40","343.85","154.50K","-0.63%"
"06/16/2023","347.30","346.65","347.35","344.90","210.36K","0.62%"
"06/15/2023","345.15","347.40","348.45","344.75","236.59K","-0.36%"
"06/14/2023","346.40","348.30","348.55","345.80","214.86K","-0.57%"
"06/13/2023","348.40","348.75","349.30","347.15","195.68K","0.50%"
"06/12/2023","346.65","349.70","350.10","345.60","201.03K","-0.82%"
"06/09/2023","349.50","346.05","349.50","344.80","207.24K","1.97%"
"06/08/2023","342.75","342.15","342.75","340.65","119.52K","-0.15%"
"06/07/2023","343.25","345.10","345.75","343.10","165.56K","-0.22%"
