"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2023","309.71","307.55","310.41","307.35","88.98K","1.36%"
"10/31/2023","305.56","310.49","311.58","305.14","121.72M","-1.10%"
"10/30/2023","308.95","307.01","310.12","306.89","95.85M","0.14%"
"10/27/2023","308.53","309.68","310.43","307.24","92.93M","0.25%"
"10/26/2023","307.75","311.36","312.37","307.75","110.77M","-2.76%"
"10/25/2023","316.49","319.26","319.59","316.30","91.22M","-0.61%"
"10/24/2023","318.43","317.34","318.63","311.77","93.26M","0.93%"
"10/23/2023","315.50","317.43","318.30","315.09","89.16M","-0.77%"
"10/20/2023","317.96","319.45","320.18","316.28","112.71M","-1.49%"
"10/19/2023","322.76","324.75","325.08","322.40","115.71M","-1.84%"
"10/18/2023","328.82","326.32","329.06","326.12","134.13M","0.45%"
"10/17/2023","327.35","325.70","328.26","325.01","88.46M","1.26%"
"10/16/2023","323.29","324.10","326.00","321.32","93.10M","-0.76%"
"10/13/2023","325.77","326.11","327.33","325.43","91.78M","-0.94%"
"10/12/2023","328.85","326.89","328.85","326.89","108.82M","1.27%"
"10/11/2023","324.74","323.96","327.26","323.95","119.11M","1.76%"
"10/10/2023","319.11","322.97","324.85","319.06","128.82M","0.05%"
"10/06/2023","318.94","319.27","320.67","318.44","87.54M","0.11%"
"10/05/2023","318.58","321.46","321.71","318.46","104.52M","-0.27%"
"10/04/2023","319.45","322.61","322.61","318.88","149.16M","-2.22%"
"09/27/2023","326.71","325.05","327.50","324.73","81.60M","-0.06%"
"09/26/2023","326.90","331.51","331.56","326.63","90.03M","-1.41%"
"09/25/2023","331.58","331.40","332.65","330.10","84.40M","-0.13%"
"09/22/2023","332.02","329.90","332.59","329.11","87.03M","-0.31%"
"09/21/2023","333.04","336.73","337.54","333.01","96.33M","-1.69%"
"09/20/2023","338.75","338.54","339.87","337.57","104.35M","-0.02%"
"09/19/2023","338.82","341.50","342.18","338.21","96.05M","-0.54%"
"09/18/2023","340.67","342.98","344.39","340.51","100.51M","-1.25%"
"09/15/2023","344.98","341.56","346.29","341.02","159.76M","1.11%"
"09/14/2023","341.19","337.34","341.19","336.64","121.38M","1.55%"
"09/13/2023","335.99","335.83","337.61","334.67","106.78M","0.13%"
"09/12/2023","335.54","338.51","338.81","335.28","94.68M","-0.60%"
"09/11/2023","337.58","336.52","337.62","335.33","112.57M","0.35%"
"09/08/2023","336.40","336.29","336.66","333.92","79.83M","-0.10%"
"09/07/2023","336.74","336.93","338.02","335.08","88.39M","-0.33%"
"09/06/2023","337.85","339.66","340.48","337.36","91.71M","-0.72%"
"09/05/2023","340.29","340.15","341.45","339.25","82.75M","-0.21%"
"09/04/2023","341.02","339.10","341.02","337.60","96.70M","0.81%"
"09/01/2023","338.28","334.11","338.95","334.07","119.77M","1.05%"
"08/31/2023","334.75","335.38","336.06","333.39","146.25M","-0.06%"
"08/30/2023","334.94","337.11","337.69","334.94","89.26M","0.35%"
"08/29/2023","333.76","333.57","334.46","332.70","88.52M","0.37%"
"08/28/2023","332.53","332.10","332.67","330.87","95.14M","0.69%"
"08/25/2023","330.25","329.31","331.40","328.66","82.42M","-1.07%"
"08/24/2023","333.82","333.14","334.04","332.14","105.02M","1.42%"
"08/23/2023","329.15","328.95","330.22","327.87","87.58M","-0.17%"
"08/22/2023","329.70","331.65","332.53","328.69","93.98M","0.26%"
"08/21/2023","328.84","329.45","331.09","328.30","100.07M","0.13%"
"08/18/2023","328.42","326.90","330.65","326.24","119.16M","-0.55%"
"08/17/2023","330.23","329.63","330.43","325.74","117.99M","-0.32%"
"08/16/2023","331.28","333.69","334.17","330.54","126.66M","-1.50%"
"08/14/2023","336.33","338.58","339.52","335.28","125.09M","-0.78%"
"08/11/2023","338.98","341.88","343.03","338.80","128.91M","-0.43%"
"08/10/2023","340.46","339.69","340.46","339.09","164.73M","-0.34%"
"08/09/2023","341.61","339.00","342.38","338.45","115.52M","1.08%"
"08/08/2023","337.95","342.12","342.62","337.25","127.77M","-0.51%"
"08/07/2023","339.68","339.60","343.18","339.46","117.86M","-0.46%"
"08/04/2023","341.25","341.60","342.72","340.62","118.84M","-0.08%"
"08/03/2023","341.54","344.80","345.05","340.10","169.19M","-0.66%"
"08/02/2023","343.80","349.10","349.74","343.25","173.99M","-2.05%"
"08/01/2023","351.00","347.35","351.23","346.56","171.25M","1.56%"
"07/31/2023","345.62","346.50","347.18","344.72","168.15M","0.46%"
"07/28/2023","344.03","343.55","344.34","341.31","197.32M","-0.21%"
"07/27/2023","344.76","341.64","345.50","340.58","238.86M","1.23%"
"07/26/2023","340.56","345.18","345.42","339.53","296.54M","-1.26%"
"07/25/2023","344.92","345.78","346.27","342.93","200.89M","0.17%"
"07/24/2023","344.32","341.98","345.87","340.67","151.45M","0.56%"
"07/21/2023","342.39","339.19","342.39","337.45","130.85M","0.21%"
"07/20/2023","341.67","341.37","343.29","340.62","116.38M","-0.42%"
"07/19/2023","343.11","345.61","345.69","341.78","123.78M","-0.08%"
"07/18/2023","343.38","346.49","346.98","342.90","131.14M","-0.69%"
"07/17/2023","345.75","345.38","346.98","344.74","150.89M","-0.34%"
"07/14/2023","346.93","343.49","346.93","342.90","155.04M","1.70%"
"07/13/2023","341.13","341.60","343.01","341.10","154.06M","0.49%"
"07/12/2023","339.46","336.82","339.46","336.15","185.30M","0.72%"
"07/11/2023","337.02","333.47","337.02","332.91","147.28M","1.87%"
"07/10/2023","330.84","331.82","333.60","330.39","116.84M","-0.22%"
"07/07/2023","331.57","334.79","334.79","330.33","134.89M","-1.38%"
"07/06/2023","336.20","338.19","338.88","335.55","146.37M","-0.84%"
"07/05/2023","339.04","341.47","342.82","338.93","130.51M","-0.75%"
"07/04/2023","341.59","343.54","343.88","341.42","103.85M","-0.43%"
"07/03/2023","343.08","340.26","343.50","340.07","98.77M","1.52%"
"06/30/2023","337.95","337.56","338.98","335.04","103.95M","0.46%"
"06/29/2023","336.39","338.46","340.34","336.39","105.44M","-0.60%"
"06/28/2023","338.41","341.38","341.60","337.60","96.69M","-0.56%"
