날짜,monthth,종가
1986-01-02,0,25.56
1986-01-03,0,25.97
1986-01-06,0,26.57
1986-01-07,0,26.2
1986-01-08,0,25.93
1986-01-09,0,25.9
1986-01-10,0,25.79
1986-01-13,0,25.08
1986-01-14,0,24.96
1986-01-15,0,25.15
1986-01-16,0,24.11
1986-01-17,0,23.53
1986-01-20,0,21.27
1986-01-21,0,20.59
1986-01-22,0,20.59
1986-01-23,0,19.82
1986-01-24,0,19.5
1986-01-27,0,20.83
1986-01-28,0,20.17
1986-01-29,0,19.66
1986-01-30,0,19.66
1986-01-31,0,18.83
1986-02-03,1,17.36
1986-02-04,1,15.44
1986-02-05,1,16.16
1986-02-06,1,16.45
1986-02-07,1,17.68
1986-02-10,1,16.78
1986-02-11,1,16.55
1986-02-12,1,15.73
1986-02-13,1,16.47
1986-02-14,1,16.01
1986-02-18,1,14.77
1986-02-19,1,15.12
1986-02-20,1,14.17
1986-02-21,1,13.53
1986-02-24,1,15.11
1986-02-25,1,14.55
1986-02-26,1,14.6
1986-02-27,1,13.95
1986-02-28,1,13.26
1986-03-03,2,12.27
1986-03-04,2,11.98
1986-03-05,2,12.09
1986-03-06,2,13.16
1986-03-07,2,12.28
1986-03-10,2,12.85
1986-03-11,2,13.1
1986-03-12,2,14.01
1986-03-13,2,12.65
1986-03-14,2,12.72
1986-03-17,2,13.2
1986-03-18,2,13.73
1986-03-19,2,13.28
1986-03-20,2,12.78
1986-03-21,2,13.94
1986-03-24,2,12.13
1986-03-25,2,12.25
1986-03-26,2,12.02
1986-03-27,2,11.44
1986-03-31,2,10.42
1986-04-01,3,11.27
1986-04-02,3,11.52
1986-04-03,3,11.75
1986-04-04,3,12.74
1986-04-07,3,14.33
1986-04-08,3,12.47
1986-04-09,3,13.0
1986-04-10,3,13.48
1986-04-11,3,13.61
1986-04-14,3,12.97
1986-04-15,3,12.7
1986-04-16,3,11.43
1986-04-17,3,11.83
1986-04-18,3,11.92
1986-04-21,3,12.57
1986-04-22,3,13.2
1986-04-23,3,13.21
1986-04-24,3,12.98
1986-04-25,3,13.39
1986-04-28,3,13.36
1986-04-29,3,13.51
1986-04-30,3,13.34
1986-05-01,4,13.81
1986-05-02,4,14.73
1986-05-05,4,14.33
1986-05-06,4,14.32
1986-05-07,4,15.21
1986-05-08,4,15.74
1986-05-09,4,15.86
1986-05-12,4,15.77
1986-05-13,4,15.89
1986-05-14,4,15.51
1986-05-15,4,15.68
1986-05-16,4,16.16
1986-05-19,4,17.16
1986-05-20,4,16.04
1986-05-21,4,14.82
1986-05-22,4,15.16
1986-05-23,4,15.59
1986-05-27,4,15.1
1986-05-28,4,14.83
1986-05-29,4,14.54
1986-05-30,4,14.3
1986-06-02,5,13.81
1986-06-03,5,13.87
1986-06-04,5,13.1
1986-06-05,5,13.23
1986-06-06,5,12.76
