Date,콜금리_1일,KORIBOR_3m,KORIBOR_6m,KORIBOR_12m,CD91,국고채_1y,국고채_3y,국고채_5y,국고채_10y,국고채_20y,국고채_30y,통안증권_91d,통안증권_1y,통안증권_2y,회사채_AA,회사채_BBB,원자료_AA_민평,MMF_7d
"2013/01/02","2.770","2.87","2.93","2.96","2.89","2.780","2.820","2.980","3.190","3.300","3.370","2.780","2.780","2.810","3.300","8.810","3.300","2.77"
"2013/01/03","2.770","2.87","2.92","2.95","2.88","2.740","2.770","2.910","3.130","3.250","3.320","2.740","2.740","2.760","3.250","8.750","3.250","2.77"
"2013/01/04","2.760","2.86","2.91","2.94","2.88","2.720","2.740","2.890","3.130","3.250","3.330","2.730","2.730","2.740","3.230","8.730","3.240","2.79"
"2013/01/07","2.760","2.85","2.89","2.92","2.87","2.720","2.760","2.890","3.100","3.220","3.370","2.730","2.730","2.750","3.250","8.740","3.250","2.79"
"2013/01/08","2.760","2.84","2.88","2.91","2.87","2.710","2.740","2.870","3.050","3.170","3.330","2.720","2.720","2.730","3.230","8.730","3.230","2.79"
"2013/01/09","2.770","2.83","2.87","2.90","2.87","2.710","2.750","2.870","3.050","3.170","3.320","2.720","2.720","2.740","3.230","8.730","3.230","2.79"
"2013/01/10","2.760","2.83","2.86","2.89","2.87","2.680","2.700","2.820","3.020","3.140","3.280","2.680","2.680","2.700","3.190","8.690","3.180","2.79"
"2013/01/11","2.760","2.82","2.86","2.89","2.85","2.710","2.760","2.870","3.050","3.170","3.290","2.710","2.710","2.750","3.250","8.750","3.230","2.78"
"2013/01/14","2.750","2.82","2.87","2.90","2.85","2.720","2.760","2.880","3.040","3.170","3.300","2.720","2.720","2.760","3.250","8.750","3.220","2.78"
"2013/01/15","2.760","2.82","2.87","2.90","2.85","2.700","2.730","2.840","3.010","3.130","3.280","2.700","2.700","2.740","3.210","8.720","3.180","2.78"
"2013/01/16","2.750","2.82","2.87","2.89","2.85","2.710","2.740","2.840","3.020","3.140","3.290","2.700","2.710","2.740","3.210","8.720","3.170","2.78"
"2013/01/17","2.750","2.82","2.87","2.89","2.85","2.710","2.730","2.830","3.000","3.120","3.270","2.700","2.710","2.730","3.190","8.710","3.140","2.78"
"2013/01/18","2.750","2.82","2.87","2.89","2.85","2.720","2.750","2.850","3.020","3.140","3.290","2.710","2.720","2.750","3.200","8.720","3.140","2.76"
"2013/01/21","2.760","2.82","2.87","2.90","2.85","2.720","2.740","2.850","3.020","3.140","3.290","2.710","2.720","2.740","3.190","8.720","3.140","2.76"
"2013/01/22","2.750","2.82","2.87","2.89","2.85","2.720","2.730","2.840","3.020","3.140","3.310","2.710","2.720","2.730","3.170","8.710","3.130","2.76"
"2013/01/23","2.750","2.82","2.87","2.89","2.85","2.710","2.720","2.830","3.010","3.130","3.300","2.700","2.710","2.720","3.150","8.700","3.120","2.76"
"2013/01/24","2.750","2.82","2.87","2.89","2.84","2.710","2.710","2.820","3.000","3.130","3.290","2.700","2.710","2.720","3.130","8.690","3.100","2.76"
"2013/01/25","2.750","2.82","2.86","2.88","2.84","2.710","2.710","2.820","2.990","3.120","3.280","2.700","2.710","2.720","3.120","8.690","3.090","2.76"
"2013/01/28","2.750","2.82","2.85","2.87","2.84","2.730","2.740","2.850","3.030","3.150","3.300","2.720","2.730","2.740","3.130","8.700","3.110","2.76"
"2013/01/29","2.750","2.82","2.85","2.87","2.84","2.740","2.750","2.860","3.040","3.160","3.310","2.730","2.740","2.750","3.130","8.700","3.110","2.76"
"2013/01/30","2.750","2.82","2.85","2.87","2.84","2.760","2.780","2.900","3.100","3.210","3.330","2.750","2.760","2.770","3.150","8.730","3.130","2.76"
"2013/01/31","2.760","2.81","2.85","2.87","2.84","2.750","2.760","2.890","3.100","3.200","3.330","2.740","2.750","2.760","3.130","8.720","3.110","2.76"
"2013/02/01","2.750","2.81","2.85","2.87","2.84","2.750","2.760","2.900","3.120","3.220","3.350","2.740","2.750","2.760","3.130","8.720","3.110","2.75"
"2013/02/04","2.750","2.81","2.85","2.87","2.84","2.740","2.760","2.900","3.110","3.210","3.340","2.740","2.740","2.760","3.120","8.720","3.110","2.75"
"2013/02/05","2.730","2.81","2.84","2.87","2.84","2.720","2.750","2.880","3.080","3.180","3.320","2.730","2.730","2.750","3.110","8.710","3.100","2.75"
"2013/02/06","2.720","2.81","2.84","2.86","2.84","2.700","2.720","2.850","3.070","3.180","3.330","2.710","2.710","2.720","3.080","8.680","3.070","2.75"
"2013/02/07","2.740","2.80","2.83","2.86","2.84","2.700","2.720","2.850","3.060","3.180","3.320","2.710","2.710","2.720","3.080","8.680","3.070","2.75"
"2013/02/08","2.740","2.80","2.83","2.85","2.84","2.700","2.720","2.840","3.060","3.180","3.320","2.700","2.700","2.710","3.070","8.670","3.060","2.73"
"2013/02/12","2.750","2.80","2.83","2.85","2.84","2.690","2.710","2.830","3.040","3.160","3.310","2.690","2.690","2.690","3.060","8.660","3.050","2.73"
"2013/02/13","2.750","2.80","2.83","2.85","2.84","2.700","2.730","2.860","3.080","3.200","3.330","2.710","2.710","2.710","3.080","8.680","3.070","2.73"
"2013/02/14","2.750","2.80","2.83","2.85","2.83","2.700","2.730","2.860","3.090","3.210","3.330","2.710","2.710","2.710","3.080","8.680","3.070","2.73"
"2013/02/15","2.750","2.80","2.83","2.85","2.83","2.690","2.720","2.840","3.080","3.200","3.320","2.690","2.700","2.700","3.070","8.670","3.060","2.73"
"2013/02/18","2.740","2.79","2.83","2.84","2.83","2.680","2.710","2.830","3.060","3.180","3.310","2.680","2.690","2.700","3.060","8.660","3.050","2.73"
"2013/02/19","2.750","2.78","2.82","2.84","2.83","2.660","2.690","2.800","3.030","3.150","3.290","2.660","2.670","2.680","3.030","8.630","3.020","2.73"
"2013/02/20","2.750","2.78","2.82","2.83","2.83","2.680","2.710","2.820","3.040","3.170","3.300","2.670","2.680","2.700","3.050","8.650","3.040","2.73"
"2013/02/21","2.760","2.78","2.82","2.83","2.83","2.660","2.680","2.790","3.020","3.150","3.270","2.650","2.660","2.680","3.020","8.630","3.020","2.73"
